    file problem time
1 109649__200__11_12_65__35.apx EE-GR 101
2 109649__200__11_12_65__35.apx SE-GR 101
3 109649__200__11_12_65__35.apx EE-CO 168
4 109649__200__11_12_65__35.apx SE-CO 166
5 109649__200__11_12_65__35.apx EE-ST 142
6 109649__200__11_12_65__35.apx SE-ST 141
7 109649__200__11_12_65__35.apx EE-PR 167
8 109649__200__11_12_65__35.apx SE-PR 166
9 116134__200__18_19_87__57.apx EE-GR 98
10 116134__200__18_19_87__57.apx SE-GR 99
11 116134__200__18_19_87__57.apx EE-CO 245
12 116134__200__18_19_87__57.apx SE-CO 241
13 116134__200__18_19_87__57.apx EE-ST 157
14 116134__200__18_19_87__57.apx SE-ST 154
15 116134__200__18_19_87__57.apx EE-PR 244
16 116134__200__18_19_87__57.apx SE-PR 244
17 119290__200__21_22_51__46.apx EE-GR 104
18 119290__200__21_22_51__46.apx SE-GR 104
19 119290__200__21_22_51__46.apx EE-CO 114
20 119290__200__21_22_51__46.apx SE-CO 114
21 119290__200__21_22_51__46.apx EE-ST 112
22 119290__200__21_22_51__46.apx SE-ST 111
23 119290__200__21_22_51__46.apx EE-PR 114
24 119290__200__21_22_51__46.apx SE-PR 112
25 120200__300__11_12_33__98.apx EE-GR 106
26 120200__300__11_12_33__98.apx SE-GR 105
27 120200__300__11_12_33__98.apx EE-CO 843
28 120200__300__11_12_33__98.apx SE-CO 838
29 120200__300__11_12_33__98.apx EE-ST 552
30 120200__300__11_12_33__98.apx SE-ST 549
31 120200__300__11_12_33__98.apx EE-PR 838
32 120200__300__11_12_33__98.apx SE-PR 837
33 120355__300__9_9_17__90.apx EE-GR 136
34 120355__300__9_9_17__90.apx SE-GR 125
35 120355__300__9_9_17__90.apx EE-CO 20567
36 120355__300__9_9_17__90.apx SE-CO 20590
37 120355__300__9_9_17__90.apx EE-ST 12037
38 120355__300__9_9_17__90.apx SE-ST 12034
39 120355__300__9_9_17__90.apx EE-PR 20593
40 120355__300__9_9_17__90.apx SE-PR 20562
41 120534__300__8_8_15__62.apx EE-GR 131
42 120534__300__8_8_15__62.apx SE-GR 132
43 120534__300__8_8_15__62.apx EE-CO 539
44 120534__300__8_8_15__62.apx SE-CO 540
