    file problem time exit-status
1 109649__200__11_12_65__35.apx EE-GR 104 0
2 109649__200__11_12_65__35.apx SE-GR 103 0
3 109649__200__11_12_65__35.apx EE-CO 162 0
4 109649__200__11_12_65__35.apx SE-CO 104 0
5 109649__200__11_12_65__35.apx EE-ST 141 0
6 109649__200__11_12_65__35.apx SE-ST 119 0
7 109649__200__11_12_65__35.apx EE-PR 161 0
8 109649__200__11_12_65__35.apx SE-PR 161 0
9 116134__200__18_19_87__57.apx EE-GR 101 0
10 116134__200__18_19_87__57.apx SE-GR 100 0
11 116134__200__18_19_87__57.apx EE-CO 235 0
12 116134__200__18_19_87__57.apx SE-CO 101 0
13 116134__200__18_19_87__57.apx EE-ST 155 0
14 116134__200__18_19_87__57.apx SE-ST 107 0
15 116134__200__18_19_87__57.apx EE-PR 233 0
16 116134__200__18_19_87__57.apx SE-PR 231 0
17 119290__200__21_22_51__46.apx EE-GR 106 0
18 119290__200__21_22_51__46.apx SE-GR 106 0
19 119290__200__21_22_51__46.apx EE-CO 113 0
20 119290__200__21_22_51__46.apx SE-CO 107 0
21 119290__200__21_22_51__46.apx EE-ST 111 0
22 119290__200__21_22_51__46.apx SE-ST 109 0
23 119290__200__21_22_51__46.apx EE-PR 113 0
24 119290__200__21_22_51__46.apx SE-PR 113 0
25 120200__300__11_12_33__98.apx EE-GR 108 0
26 120200__300__11_12_33__98.apx SE-GR 108 0
27 120200__300__11_12_33__98.apx EE-CO 783 0
28 120200__300__11_12_33__98.apx SE-CO 109 0
29 120200__300__11_12_33__98.apx EE-ST 519 0
30 120200__300__11_12_33__98.apx SE-ST 139 0
31 120200__300__11_12_33__98.apx EE-PR 787 0
32 120200__300__11_12_33__98.apx SE-PR 783 0
33 120355__300__9_9_17__90.apx EE-GR 116 0
34 120355__300__9_9_17__90.apx SE-GR 115 0
35 120355__300__9_9_17__90.apx EE-CO 18961 0
36 120355__300__9_9_17__90.apx SE-CO 117 0
37 120355__300__9_9_17__90.apx EE-ST 11265 0
38 120355__300__9_9_17__90.apx SE-ST 6378 0
39 120355__300__9_9_17__90.apx EE-PR 19017 0
40 120355__300__9_9_17__90.apx SE-PR 18992 0
41 120534__300__8_8_15__62.apx EE-GR 133 0
42 120534__300__8_8_15__62.apx SE-GR 133 0
43 120534__300__8_8_15__62.apx EE-CO 502 0
44 120534__300__8_8_15__62.apx SE-CO 134 0
45 120534__300__8_8_15__62.apx EE-ST 417 0
46 120534__300__8_8_15__62.apx SE-ST 279 0
47 120534__300__8_8_15__62.apx EE-PR 502 0
48 120534__300__8_8_15__62.apx SE-PR 501 0
49 120572__300__8_9_15__71.apx EE-GR 134 0
50 120572__300__8_9_15__71.apx SE-GR 134 0
51 120572__300__8_9_15__71.apx EE-CO 542 0
52 120572__300__8_9_15__71.apx SE-CO 134 0
53 120572__300__8_9_15__71.apx EE-ST 457 0
54 120572__300__8_9_15__71.apx SE-ST 208 0
55 120572__300__8_9_15__71.apx EE-PR 541 0
56 120572__300__8_9_15__71.apx SE-PR 541 0
57 121196__300__20_20_24__31.apx EE-GR 114 0
58 121196__300__20_20_24__31.apx SE-GR 114 0
59 121196__300__20_20_24__31.apx EE-CO 5890 0
60 121196__300__20_20_24__31.apx SE-CO 116 0
61 121196__300__20_20_24__31.apx EE-ST 2804 0
62 121196__300__20_20_24__31.apx SE-ST 1225 0
63 121196__300__20_20_24__31.apx EE-PR 5902 0
64 121196__300__20_20_24__31.apx SE-PR 5900 0
65 122029__300__9_9_18__0.apx EE-GR 126 0
66 122029__300__9_9_18__0.apx SE-GR 125 0
